hex_code,name,subtype,category,level,effect_family,delivery,application_time,duration,expiration,Dmg,Healing Max,effect,description,extraction_ingredient_id,calcination_ingredient_id,dissolution_ingredient_id,concentration_ingredient_id
B0 73 07 6E,Acid Gas,Gas,Gasses,2,Damage,Packet,Instant,,,3,,Acid Gas lv 2,Thrown. Deals three points of Acid Gas damage to the target. (Call: 3 Acid Gas Lv 2),66,81,,
5B 75 EF E6,Acid Protection Salve,Salve,Liniments,2,Damage Reduction,Applied,30 seconds,End of Current Reset,,,,Reduce acid damage by 1 until the end of the current reset. Call Reduced to any acid attack,Applied. (30 sec) Reduce acid damage by 1. Call Reduced to any acid attack (Duration: 1 hour) (EXP: 1 hour),13,,81,
4A E7 87 2B,Adaptive Tincture,Tincture,Tonics,1,Advantage,Ingested,Instant,End of next Reset,,,,See Description,Ingested. Imbiber immediately loses 1 BP and gains 1 resettable AP. Drinker�s MAX BP is also reduced by 1. (Duration: end next reset),,,,33
5B 75 7D E6,Adaptive Tincture (alternate),Tincture,Tonics,1,Advantage,Ingested,Instant,End of next Reset,,,,See Description,Ingested. Imbiber immediately loses 1 BP and gains 1 resettable AP Drinker�s MAX BP is also reduced by 1. (Duration: end next reset),,,50,
90 D5 A8 03,Adhesive Remover,Grease,Coatings,2,Utility,Applied,1 minute,,,,,See Description,Dissolves adhesives,30,,53,
01 75 79 D6,Adrenaline Surge Elixir,Elixir,Tonics,3,Bestow Skill,Ingested,Instant,Standard,1 hour,,,Bestow one use of the Adrenaline Surge skill. Must be used within 1 hour.,"Ingested. Grants the imbiber one use of the Adrenaline Surge skill (3 AP, 10 power strikes). (Duration: ! min) (EXP: 1 hour)",86,85,91,
22 FD 0F E6,Agaric Essence,Vial,Vial,1,Component,None,None,,,,,Component,Component. Need to determine use,,,47,
57 FF C9 6E,Agile Regeneration Potion,Potion,Tonics,2,Advantage,Ingested,Instant,10 minutes,1 hour,,,"Bestow One use of Heal Self, must be used within one hour. (See Heal Self- but with constant motion) Expires if not used in 1 hour. Healing lasts 10 minutes.",Ingested. Imbiber may Heal Self at a rate of 1 BP/ minute as long as they remain in motion. (Duration: 10 min) (EXP: 1 hour),64,,,91
C7 BB A8 DC,Agile Tincture,Tincture,Tonics,1,Damage Reduction,Ingested,Instant,,10 minutes,,,See Description,"Ingested. Imbiber may Reduce the next physical attack which strikes them by 1. Does not stack with other damage reduction. (Call: ""Reduced"") (EXP: 10 min)",,46,,
80 F1 09 32,Amplify Healing,Elixir,Tonics,3,Advantage,Ingested,Instant,10 minutes,,,,See Description,Ingested. All Heal Living effect spells cast by the imbiber heal their targets 1 extra point. (Duration: 10 min),32,,32,57
B5 51 45 FA,Anti-Choking Ointment,Ointment,Liniments,1,Bestow Defensive,Applied,1 minute,,1 hour,,,Bestow Resist Choke  must be used within 1 hour.,"Applied. (1 min)  Bestow one ""Resist Choke"". (EXP: 1 hour)",,33,,
B5 25 01 F0,Anti-Destruction Grease,Grease,Coatings,2,Bestow Defensive,Applied,15 seconds,,End of Current Reset,,,Bestow Resist Shatter on next strike,"Applied. (15 sec) Target weapon, armor, or shield resists the next ""Destroy"" effect received. (EXP: end current reset)",16,,,108
B0 39 25 46,Anti-Glibben Perfume,Powder,Particulates,1,Bestow Defensive,Applied,10 seconds,5 minutes,,,,Disengage Glibben -10 feet,"Applied. Causes Glibben to flee the target. (Duration: 5 min) (Call:""Disengage Glibben 10 feet - 5 minutes on me"").",,67,,
96 26 14 28,Arcane Projection,Elixir,Tonics,3,Advantage,Ingested,Instant,,1 hour,,,Bestow Line of Voice for spell within 1 hour,Ingested. A single spell may be cast by voice. (EXP: 1 hour),109,,98,73
1C B5 C1 A0,Armorsmith's Acuity,Potion,Tonics,2,Advantage,Ingested,Instant,End of Current Reset,,,,See Description,Ingested. Imbiber's Armor Repair improves by 1 point/ action. (Duration: end current reset),86,,,102
90 CB 09 B4,Assassination Poison,Elixir,Tonics,4,Status Effect,Ingested,Instant,,,,,Assassinate lv3,Ingested. Imbiber immediately suffers the Assassinate effect. (Assasinate Lv 3),101,61,103,9
