name,id
Alum/Barud,2
Cedarwood,15
Chromium,16
Bloodworm,9
Cyra,22
Fly Agaric,47
Dragon Soul,26
Eagle Egg,27
Elder Root,32
Elf's Ear,33
Fox Tail,49
Frog,50
Amanita Virosa,3
Crow Egg,20
Bisort,5
Corpseworm,19
Blue Moss,10
Cupreus Patina,21
Deer Antler,24
Edram Root,30
Earth Newt,28
Firewort,44
Bomb Thistle,11
Dragon Scale,25
Forge's Friend,48
Ghost Fungus,52
Gear,51
Lavastone,71
Essence of Energy,36
Essence of Humanity,37
Essence of the Mind,38
Essence of the Mountain,39
Essence of the World,40
Essence of Unlife,42
Emerald,34
Undvika Heartwood,109
Tubing,107
Gold Wire,58
Grey Festerer,61
Laen,69
Mill Thorn,77
Mother's Milk,78
Phosphorous,85
Piston,87
Platinum,88
Roach,94
Snake,100
Sheep,97
Silver,98
Tremellales,105
Turtle,108
Glow Ants,55
Quartz Crystal,90
Spider,102
Fly,46
Glowing spider,56
Grense Spores,60
Heather,63
Horehound,64
Lake Crab,70
Mouse,79
Iron,67
Lead,72
Piemont White,86
Rabbit,91
Obsidian,82
Ruby,95
Tofani,104
White Trumpet,111
Trytich,106
Eel,31
Wormwood Root,112
"""Demon Gold""",123
Blood (Ritika),119
Persil Liquid,84
Agaric Essence,1
Mercury,75
Marcoc Oil,73
Maythen Essence,74
Radix Liquid,92
Hydrogen Atheleck,66
Silver Oak,99
Blackrose,7
Amethyst,4
Blood (Elf),115
Blood (Ghoul),120
Blood (Krosan),117
Blood (Haroc),116
Blood (Mystic),118
Bombshell,12
Blood (Lyche),121
Blood (Wyldling),124
Newt Acid,81
Blood (Dagon),114
Pond Sucker,89
Blood,8
Black Quartz,6
Brach,13
Carnelian,14
Cinnabar,17
Copper,18
Ebony,29
Hyacinth Nectar,65
Blood (B'Tair),113
Cyra Sap,23
Fire Newt,43
Snake Venom,101
Orange Fungus,83
Sapphire,96
Sulphur,103
Flint,45
Granite,59
Gleaming Cup,53
Gold,57
Grub ,62
Murkleech,80
Red Lichen,93
White Sage,110
Essence of Change,35
Essence of Tranquility,41
Gleaming Essence,54
Jade,68
Methal Acid,76
Undvika Sapwood,126
Blood (Human),125
Blood (Vampyre),122
